zonei,areakey,name,TObsOi,TPredOi,OiScenario,
231,E02000238,Ealing 001,2417,2417.002,2779.5523,
232,E02000239,Ealing 002,659,659.0006,757.85069,
233,E02000240,Ealing 003,747,747.0023,859.052645,
234,E02000241,Ealing 004,1387,1387.003,1595.05345,
235,E02000242,Ealing 005,1997,1997.012,2296.5638,
236,E02000243,Ealing 006,5075,5075.004,5836.2546,
237,E02000244,Ealing 007,3080,3080.005,3542.00575,
238,E02000245,Ealing 008,602,602.0033,692.303795,
239,E02000246,Ealing 009,539,539.0023,619.852645,
240,E02000247,Ealing 010,1061,1061,1220.15,
241,E02000248,Ealing 011,5155,5155.016,5928.2684,
242,E02000249,Ealing 012,2233,2233.007,2567.95805,
243,E02000250,Ealing 013,584,584.0015,671.601725,
244,E02000251,Ealing 014,314,314.0019,361.102185,
245,E02000252,Ealing 015,16884,16884.06,19416.669,
246,E02000253,Ealing 016,493,493.0013,566.951495,
247,E02000254,Ealing 017,647,647.0017,744.051955,
248,E02000255,Ealing 018,975,975.0025,1121.252875,
249,E02000256,Ealing 019,5246,5246.009,6032.91035,
250,E02000257,Ealing 020,6261,6261.017,7200.16955,
251,E02000258,Ealing 021,347,347,399.05,
252,E02000259,Ealing 022,775,775.0026,891.25299,
253,E02000260,Ealing 023,2844,2844.006,3270.6069,
254,E02000261,Ealing 024,1269,1269.004,1459.3546,
255,E02000262,Ealing 025,2566,2566.006,2950.9069,
256,E02000263,Ealing 026,1610,1610.006,1851.5069,
257,E02000264,Ealing 027,1503,1503.004,1728.4546,
258,E02000265,Ealing 028,2531,2531.009,2910.66035,
259,E02000266,Ealing 029,8456,8456.019,9724.42185,
260,E02000267,Ealing 030,2089,2089.002,2402.3523,
261,E02000268,Ealing 031,2232,2232.005,2566.80575,
262,E02000269,Ealing 032,2525,2525.007,2903.75805,
263,E02000270,Ealing 033,3246,3246.001,3732.90115,
264,E02000271,Ealing 034,2580,2579.997,2966.99655,
265,E02000272,Ealing 035,1317,1317.005,1514.55575,
266,E02000274,Ealing 037,2734,2734.005,3144.10575,
267,E02000275,Ealing 038,1149,1149.006,1321.3569,
268,E02000276,Ealing 039,914,914.0029,1051.103335,
6649,E02006791,Ealing 040,688,688.0007,791.200805,
475,E02000494,Hillingdon 001,2085,2085.002,2397.7523,
476,E02000495,Hillingdon 002,4128,4128.008,4747.2092,
477,E02000496,Hillingdon 003,3495,3495.007,4019.25805,
478,E02000497,Hillingdon 004,1154,1154.005,1327.10575,
479,E02000498,Hillingdon 005,944,944.0017,1085.601955,
480,E02000499,Hillingdon 006,1238,1238.006,1423.7069,
481,E02000500,Hillingdon 007,2721,2721,3129.15,
482,E02000501,Hillingdon 008,1017,1017.001,1169.55115,
483,E02000502,Hillingdon 009,1176,1176.006,1352.4069,
484,E02000503,Hillingdon 010,554,554.0016,637.10184,
485,E02000504,Hillingdon 011,1096,1096.002,1260.4023,
486,E02000506,Hillingdon 013,1592,1592.007,1830.80805,
487,E02000507,Hillingdon 014,1557,1557.007,1790.55805,
488,E02000508,Hillingdon 015,12937,12937.06,14877.619,
489,E02000509,Hillingdon 016,12470,12470.07,14340.5805,
490,E02000510,Hillingdon 017,4515,4515.016,5192.2684,
491,E02000511,Hillingdon 018,2209,2209.01,2540.3615,
492,E02000512,Hillingdon 019,641,641.0018,737.15207,
493,E02000513,Hillingdon 020,1037,1037.004,1192.5546,
494,E02000514,Hillingdon 021,960,960.0059,1104.006785,
495,E02000515,Hillingdon 022,3192,3192.003,3670.80345,
496,E02000516,Hillingdon 023,439,439.0017,504.851955,
497,E02000517,Hillingdon 024,913,913.0034,1049.95391,
498,E02000518,Hillingdon 025,4963,4963.016,5707.4684,
499,E02000519,Hillingdon 026,2814,2814.007,3236.10805,
500,E02000520,Hillingdon 027,11683,11683.01,13435.4615,
501,E02000521,Hillingdon 028,1305,1305.003,1500.75345,
502,E02000522,Hillingdon 029,1145,1145.002,1316.7523,
503,E02000523,Hillingdon 030,3048,3048.013,3505.21495,
504,E02000524,Hillingdon 031,45721,50000.09,57500.1035,
505,E02000525,Hillingdon 032,4092,4092.007,4705.80805,
6654,E02006796,Hillingdon 033,5226,5226.023,6009.92645,
506,E02000526,Hounslow 001,4076,4076,4687.4,
507,E02000528,Hounslow 003,5235,5235.001,6020.25115,
508,E02000529,Hounslow 004,781,781.0031,898.153565,
509,E02000530,Hounslow 005,6063,6062.997,6972.44655,
510,E02000531,Hounslow 006,7756,7756.021,8919.42415,
511,E02000532,Hounslow 007,1966,1966.001,2260.90115,
512,E02000533,Hounslow 008,731,731.0014,840.65161,
513,E02000534,Hounslow 009,9295,9295.035,10689.29025,
514,E02000535,Hounslow 010,493,493.001,566.95115,
515,E02000536,Hounslow 011,2824,2824.009,3247.61035,
516,E02000537,Hounslow 012,720,720.0017,828.001955,
517,E02000538,Hounslow 013,4796,4796.033,5515.43795,
518,E02000539,Hounslow 014,4713,4713.012,5419.9638,
519,E02000540,Hounslow 015,2962,2962.003,3406.30345,
520,E02000541,Hounslow 016,1373,1373.007,1578.95805,
521,E02000542,Hounslow 017,2872,2872.008,3302.8092,
522,E02000543,Hounslow 018,5717,5717.018,6574.5707,
523,E02000544,Hounslow 019,593,593.002,681.9523,
524,E02000545,Hounslow 020,2102,2102.005,2417.30575,
525,E02000546,Hounslow 021,2140,2140.008,2461.0092,
526,E02000547,Hounslow 022,6805,6805.021,7825.77415,
527,E02000548,Hounslow 023,5742,5742.01,6603.3115,
528,E02000549,Hounslow 024,2308,2308.006,2654.2069,
529,E02000550,Hounslow 025,1556,1556.004,1789.4046,
530,E02000551,Hounslow 026,3601,3601.003,4141.15345,
531,E02000552,Hounslow 027,4219,4219.014,4851.8661,
532,E02000553,Hounslow 028,393,393.0011,451.951265,
6650,E02006792,Hounslow 029,13175,13175.04,15151.296,
3317,E02003407,Slough 001,655,655.0023,753.252645,
3318,E02003408,Slough 002,10999,10999.05,12648.9075,
3319,E02003409,Slough 003,4941,4941.019,5682.17185,
3320,E02003410,Slough 004,1431,1431.006,1645.6569,
3321,E02003411,Slough 005,3815,3815.012,4387.2638,
3322,E02003412,Slough 006,1498,1498.003,1722.70345,
3323,E02003413,Slough 007,4769,4769.016,5484.3684,
3324,E02003414,Slough 008,3425,3425.012,3938.7638,
3325,E02003415,Slough 009,7924,7924.026,9112.6299,
3326,E02003416,Slough 010,2764,2764.01,3178.6115,
3327,E02003417,Slough 011,7610,7610.033,8751.53795,
3328,E02003418,Slough 012,1161,1161.001,1335.15115,
3329,E02003419,Slough 013,3411,3411.007,3922.65805,
3330,E02003420,Slough 014,8941,8941.033,10282.18795,
6264,E02006403,Spelthorne 001,1103,1103.001,1268.45115,
6265,E02006404,Spelthorne 002,1161,1161.003,1335.15345,
6266,E02006405,Spelthorne 003,3265,3265.014,3754.7661,
6267,E02006406,Spelthorne 004,9215,9215.012,10597.2638,
6268,E02006407,Spelthorne 005,902,902.0002,1037.30023,
6269,E02006408,Spelthorne 006,4863,4863.016,5592.4684,
6270,E02006409,Spelthorne 007,567,567.0014,652.05161,
6271,E02006410,Spelthorne 008,3050,3050.004,3507.5046,
6272,E02006411,Spelthorne 009,381,381.0015,438.151725,
6273,E02006412,Spelthorne 010,2509,2509.006,2885.3569,
6274,E02006413,Spelthorne 011,1265,1265.002,1454.7523,
6275,E02006414,Spelthorne 012,1787,1787.003,2055.05345,
6276,E02006415,Spelthorne 013,2128,2128.002,2447.2023,
,,,,444625.2044,511318.9851,66693.78066
